COUNTY_COD,SECTION,TOWNSHIP,RANGE,LEASE_NAME,WELL_NUMBE,STATUS,MAXPRESSUR,MAXRATE,LATTITUDE,LONGITUDE,OPERATOR_,OPERATOR
25.000000,14.000000,06N,04E,STATE,14-1,AC,300,300,36.989739,-102.595600,13989.000000,NBI SERVICES INC
25.000000,24.000000,06N,04E,NW CASTENADA,5-D,AC,.,.,36.966192,-102.579800,19785.000000,LORENTZ OIL & GAS LLC
25.000000,24.000000,06N,04E,NW CASTENADA,5-D,AC,1000,3000,36.966192,-102.579800,19785.000000,LORENTZ OIL & GAS LLC
25.000000,24.000000,06N,04E,NW CASTENADA,5-D,AC,1000,3000,36.966192,-102.579800,19785.000000,LORENTZ OIL & GAS LLC
25.000000,25.000000,06N,04E,STATE AG,1,AC,700,800,36.963473,-102.576400,19785.000000,LORENTZ OIL & GAS LLC
25.000000,6.000000,05N,05E,KOHLER,1,PA,0,0,36.934486,-102.553800,5265.000000,CROUCH PETROLEUM COMPANY
25.000000,30.000000,05N,08E,PETTY,1,PA,0,400,36.871752,-102.234700,19452.000000,CIG RESOURCES COMPANY
25.000000,8.000000,05N,08E,WHISENNAND,1,AC,500,500,36.915218,-102.216600,16083.000000,LITTLE QUINTIN COMPANY INC
25.000000,8.000000,05N,08E,WHISENNAND,1,AC,500,500,36.915218,-102.216600,16083.000000,LITTLE QUINTIN COMPANY INC
25.000000,5.000000,05N,08E,CONOVER UNIT,3,TM,1300,1000,36.931532,-102.214400,17175.000000,SHENANDOAH OIL INC
25.000000,5.000000,05N,08E,CONOVER MORROW SAND UNIT,516,PD,1500,1000,36.925641,-102.213800,22253.000000,AGRICULTURAL ENERGY SERIVCES INC
25.000000,5.000000,05N,08E,CONOVER MORROW SAND UNIT,516,PD,1500,1000,36.925641,-102.213800,22253.000000,AGRICULTURAL ENERGY SERIVCES INC
25.000000,8.000000,05N,08E,CONOVER MORROW SAND UNIT,821,TM,500,1500,36.919750,-102.211000,4279.000000,FIRST NATIONAL OIL INC
25.000000,9.000000,05N,08E,MILLER,9-31,PA,0,450,36.919709,-102.206500,4279.000000,FIRST NATIONAL OIL INC
25.000000,11.000000,04N,08E,WILMARTH,1-SWD,TM,100,700,36.831057,-102.161600,3853.000000,HUNT CHRIS WATER HAULING CONTRACTOR INC
25.000000,13.000000,02N,08E,CHINOOK,1-13,AC,1000,1500,36.642491,-102.145300,18444.000000,WEINKAUF PETROLEUM INC
25.000000,24.000000,02N,08E,MAPLES,1,AC,300,1500,36.629803,-102.141400,18444.000000,WEINKAUF PETROLEUM INC
25.000000,24.000000,02N,08E,MAPLES,1,AC,300,1500,36.629803,-102.141400,18444.000000,WEINKAUF PETROLEUM INC
25.000000,24.000000,02N,08E,MAPLES,1,AC,1500,1000,36.629803,-102.141400,18444.000000,WEINKAUF PETROLEUM INC
