time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-07-22T09:23:17.010Z,35.12183333,-95.34,7.55,3.34,ml,69,80,0,0.22,ok,ok2021ofuf,2021-07-23T12:50:34.743Z,"2 km E of Quinton, Oklahoma",earthquake,,0.4,0.21,11,reviewed,ok,ok
2021-07-22T09:08:58.399Z,35.1245,-95.34083333,7.8,2.66,ml,56,80,0.1304743965,0.23,ok,ok2021ofts,2021-07-22T12:43:04.251Z,"2 km E of Quinton, Oklahoma",earthquake,,0.5,0.2,11,reviewed,ok,ok
2021-07-08T14:16:59.590Z,36.527,-98.998,7.87,2.71,ml,61,62,0,0.16,ok,ok2021ngow,2021-07-08T14:40:35.040Z,"9 km NNE of Quinlan, Oklahoma",earthquake,,0.2,0.24,29,reviewed,ok,ok
2021-07-08T14:09:49.619Z,36.52866667,-98.997,7.86,2.96,ml,100,54,0,0.15,ok,ok2021ngop,2021-07-08T14:41:38.040Z,"9 km NNE of Quinlan, Oklahoma",earthquake,,0.2,0.2,27,reviewed,ok,ok
2021-06-21T05:09:18.989Z,36.96183333,-98.09466667,7,2.52,ml,101,96,0,0.17,ok,ok2021mavf,2021-07-21T15:24:43.040Z,"6 km SW of Manchester, Oklahoma",earthquake,,0.4,0.22,40,reviewed,ok,ok
2021-06-20T22:41:43.549Z,35.12433333,-95.34883333,7.37,2.6,ml,65,145,0,0.2,ok,ok2021mail,2021-07-27T22:28:42.040Z,"2 km E of Quinton, Oklahoma",earthquake,,0.4,0.21,13,reviewed,ok,ok
2021-06-16T21:58:12.880Z,35.79133333,-96.98683333,5,2.56,ml,84,31,0,0.19,ok,ok2021lsyz,2021-07-14T23:50:19.040Z,"3 km SE of Carney, Oklahoma",earthquake,,0.3,0.21,39,reviewed,ok,ok
2021-06-16T21:07:33.079Z,35.7915,-96.985,7,3.74,ml,100,31,0,0.17,ok,ok2021lsxi,2021-07-14T23:49:01.500Z,"3 km SE of Carney, Oklahoma",earthquake,,0.3,0.21,41,reviewed,ok,ok
2021-06-16T18:18:26.579Z,35.10833333,-95.3835,7.03,2.53,ml,40,70,0.1169770451,0.21,ok,ok2021lsrt,2021-06-22T20:17:45.040Z,"1 km SW of Quinton, Oklahoma",earthquake,,0.5,0.28,11,reviewed,ok,ok
2021-06-11T07:02:02.410Z,35.12716667,-95.36116667,6.42,2.68,ml,60,75,0,0.22,ok,ok2021lirx,2021-06-23T11:31:58.040Z,"1 km ENE of Quinton, Oklahoma",earthquake,,0.5,0.25,12,reviewed,ok,ok
2021-06-06T03:38:57.750Z,36.526,-98.99766667,7.75,2.54,ml,70,55,0,0.14,ok,ok2021kzhs,2021-07-02T03:31:51.040Z,"9 km NNE of Quinlan, Oklahoma",earthquake,,0.2,0.24,32,reviewed,ok,ok
